CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
22:57:30,|,NaN,295.41268349,NaN,-0.013996241,NaN,1.770961523,NaN,-0.790184855,NaN,-0.047735937,NaN,0.004365238
23:02:30,|,NaN,295.51986504,NaN,-0.015321688,NaN,2.554874182,NaN,-1.306146383,NaN,-0.11471682,NaN,0.027042037
23:07:30,|,NaN,295.32310486,NaN,-0.018044559,NaN,2.530216694,NaN,-1.687722325,NaN,-0.111782826,NaN,0.103314832
23:12:30,|,NaN,295.03255463,NaN,-0.026204126,NaN,2.055740356,NaN,-1.954297185,NaN,-0.043038458,NaN,0.115117267
23:17:30,|,NaN,293.72413826,NaN,-0.029792866,NaN,2.214440346,NaN,-3.078451872,NaN,-0.249362886,NaN,0.326820731
23:22:30,|,NaN,293.26115036,NaN,-0.030604139,NaN,2.416187763,NaN,-2.761317253,NaN,-0.13615042,NaN,0.252767652
05:27:30,|,286.87257385,286.19291306,-0.016694168,-0.018069042,2.27312398,2.437121868,-1.961981893,-2.048964739,-0.054933798,-0.115304887,0.058973603,0.153511733
05:32:30,|,286.73585892,286.07327652,-0.018689319,-0.014720785,1.842643738,1.976402402,-1.755010962,-1.903321981,-0.054165546,-0.054291543,0.106384061,0.12618041
05:37:30,|,286.61313343,285.94375992,-0.016201619,-0.014709075,1.954501629,1.992856264,-1.942972302,-2.077718496,-0.037480392,-0.089614622,0.083091244,0.139549404
05:42:30,|,286.48754311,285.81431961,-0.020158203,-0.020065077,1.772306323,1.875516534,-1.797737598,-1.854688764,-0.031275928,-0.045285702,0.127345651,0.202824861
05:47:30,|,286.41397285,285.73735332,-0.017240034,-0.017742176,2.094969034,2.316824913,-1.727388263,-1.808707476,-0.012040704,-0.043182783,0.126955196,0.229388118
05:52:30,|,286.296731,285.60869598,-0.017274201,-0.018122867,1.861832261,1.992691278,-1.722227216,-1.804763198,-0.04375175,-0.051527165,0.04877821,0.100038774
05:57:30,|,286.15372467,285.47960854,-0.015710402,-0.022307415,1.777057052,1.948833108,-1.59421742,-1.693181872,-0.02822746,-0.087780952,0.086881183,0.168461844
06:02:30,|,285.99685383,285.32925129,-0.025204038,-0.027113302,1.931883335,2.000199318,-1.536462069,-1.625947118,-0.031847015,-0.061301894,0.08324071,0.171634421
06:07:30,|,285.87861729,285.19693089,-0.021255387,-0.027188191,1.970687866,2.07831955,-1.509350538,-1.65804863,-0.030398343,-0.072126642,0.06317202,0.109518729
06:12:30,|,285.72323036,285.0315752,-0.022458307,-0.022669809,1.890950799,2.054743052,-1.441076159,-1.486630797,-0.034722146,-0.065117754,0.065000869,0.095473483
06:17:30,|,285.5955534,284.92083073,-0.031106863,-0.030152218,2.148426294,2.216004372,-1.646288633,-1.725917697,-0.093443133,-0.158387482,0.067295849,0.141182512
06:22:30,|,285.48074055,284.80175591,-0.020380396,-0.018759338,2.248382568,2.311514378,-1.661021233,-1.790784359,-0.040591892,-0.073233671,0.074787475,0.133277357
06:27:30,|,285.35033607,284.69580364,-0.021934263,-0.021145392,1.818408966,2.007663727,-1.470373988,-1.652620912,-0.040129185,-0.033182595,0.050295696,0.109359413
06:32:30,|,285.16888714,284.51132107,-0.031717557,-0.029842116,1.849846363,1.966854692,-1.229617119,-1.316655874,-0.063456528,-0.08304771,0.050239161,0.069029465
06:37:30,|,285.03906918,284.36748981,-0.026162425,-0.027285188,1.698937774,1.890519738,-1.316281319,-1.390574574,-0.051956944,-0.06991031,0.040946271,0.101325862
06:42:30,|,284.96068287,284.28739166,-0.024785234,-0.030636754,1.735259891,1.877292633,-1.338111639,-1.413086772,-0.022884673,-0.038012184,0.038842257,0.072284363
06:47:30,|,284.80723476,284.12661076,-0.018880792,-0.016870694,1.591471791,1.63872385,-1.197107553,-1.247205019,-0.037501909,-0.043803249,0.043429643,0.081571482
06:52:30,|,284.74769211,284.06433678,-0.028956234,-0.032288339,1.700985551,1.817886591,-1.312892556,-1.39414072,-0.045340922,-0.078214079,0.058123857,0.151088178
06:57:30,|,284.67238617,283.98143196,-0.022476966,-0.028625388,1.94997561,2.102088213,-1.349569917,-1.38106823,-0.028972959,-0.055866309,0.064436436,0.101909205
