bar_fence,CDT_Time,Rel_1_5,Rel_0_4,Rel_1_5_v_0_4,bar_fence_1,Upper_3_0,Upper_0,Upper_3_0_v_0,bar_fence_2,CDT_Time_1,Lower_1_5,Lower_0,Lower_1_5_v_0
|,23:26:50,0.012,0.002,6,|,NaN,NaN,NaN,|,23:26:50,NaN,NaN,NaN
|,23:26:51,0.012,0.002,6,|,NaN,NaN,NaN,|,23:26:51,NaN,NaN,NaN
|,23:26:52,0.013,0.004,3.25,|,NaN,NaN,NaN,|,23:26:52,NaN,NaN,NaN
|,23:26:53,0.014,0,Inf,|,NaN,NaN,NaN,|,23:26:53,NaN,NaN,NaN
|,23:26:54,0.013,0.004,3.25,|,NaN,NaN,NaN,|,23:26:54,NaN,NaN,NaN
|,23:26:55,0.014,0.002,7,|,NaN,NaN,NaN,|,23:26:55,NaN,NaN,NaN
|,23:26:56,0.012,0.003,4,|,NaN,NaN,NaN,|,23:26:56,NaN,NaN,NaN
|,23:26:57,0.011,0.003,3.66666666666667,|,NaN,NaN,NaN,|,23:26:57,NaN,NaN,NaN
|,23:26:58,0.012,0.003,4,|,NaN,NaN,NaN,|,23:26:58,NaN,NaN,NaN
|,23:26:59,0.014,0,Inf,|,NaN,NaN,NaN,|,23:26:59,NaN,NaN,NaN
|,23:27:00,0.016,0.001,16,|,NaN,NaN,NaN,|,23:27:00,NaN,NaN,NaN
|,23:27:01,0.016,0.006,2.66666666666667,|,NaN,NaN,NaN,|,23:27:01,NaN,NaN,NaN
|,23:27:02,0.013,0.008,1.625,|,NaN,NaN,NaN,|,23:27:02,NaN,NaN,NaN
|,23:27:03,0.013,0.002,6.5,|,NaN,NaN,NaN,|,23:27:03,NaN,NaN,NaN
|,23:27:04,0.014,0.001,14,|,NaN,NaN,NaN,|,23:27:04,NaN,NaN,NaN
|,23:27:05,0.013,0.001,13,|,NaN,NaN,NaN,|,23:27:05,NaN,NaN,NaN
|,23:27:06,0.014,0.004,3.5,|,NaN,NaN,NaN,|,23:27:06,NaN,NaN,NaN
|,23:27:07,0.014,0.004,3.5,|,NaN,NaN,NaN,|,23:27:07,NaN,NaN,NaN
|,23:27:08,0.014,0.002,7,|,NaN,NaN,NaN,|,23:27:08,NaN,NaN,NaN
|,23:27:09,0.013,0.002,6.5,|,NaN,NaN,NaN,|,23:27:09,NaN,NaN,NaN
|,23:27:10,0.013,0.004,3.25,|,NaN,NaN,NaN,|,23:27:10,NaN,NaN,NaN
|,23:27:11,0.012,0.001,12,|,NaN,NaN,NaN,|,23:27:11,NaN,NaN,NaN
|,23:27:12,0.012,0.001,12,|,NaN,NaN,NaN,|,23:27:12,NaN,NaN,NaN
|,23:27:13,0.013,0.001,13,|,NaN,NaN,NaN,|,23:27:13,NaN,NaN,NaN
|,23:27:14,0.014,0.002,7,|,NaN,NaN,NaN,|,23:27:14,NaN,NaN,NaN
|,23:27:15,0.016,0,Inf,|,NaN,NaN,NaN,|,23:27:15,NaN,NaN,NaN
|,23:27:16,0.012,0.001,12,|,NaN,NaN,NaN,|,23:27:16,NaN,NaN,NaN
|,23:27:17,0.013,0.001,13,|,NaN,NaN,NaN,|,23:27:17,NaN,NaN,NaN
|,23:27:18,0.014,0.002,7,|,NaN,NaN,NaN,|,23:27:18,NaN,NaN,NaN
|,23:27:19,0.013,0.002,6.5,|,NaN,NaN,NaN,|,23:27:19,NaN,NaN,NaN
|,23:27:20,0.014,0.002,7,|,NaN,NaN,NaN,|,23:27:20,NaN,NaN,NaN
|,23:27:21,0.013,0.002,6.5,|,NaN,NaN,NaN,|,23:27:21,NaN,NaN,NaN
|,23:27:22,0.014,0.004,3.5,|,NaN,NaN,NaN,|,23:27:22,NaN,NaN,NaN
|,23:27:23,0.016,0.004,4,|,NaN,NaN,NaN,|,23:27:23,NaN,NaN,NaN
|,23:27:24,0.014,0.001,14,|,NaN,NaN,NaN,|,23:27:24,NaN,NaN,NaN
|,23:27:25,0.015,0,Inf,|,NaN,NaN,NaN,|,23:27:25,NaN,NaN,NaN
|,23:27:26,0.016,0.003,5.33333333333333,|,NaN,NaN,NaN,|,23:27:26,NaN,NaN,NaN
|,23:27:27,0.012,0.005,2.4,|,NaN,NaN,NaN,|,23:27:27,NaN,NaN,NaN
|,23:27:28,0.013,0.002,6.5,|,NaN,NaN,NaN,|,23:27:28,NaN,NaN,NaN
|,23:27:29,0.012,0.003,4,|,NaN,NaN,NaN,|,23:27:29,NaN,NaN,NaN
|,23:27:30,0.012,0.002,6,|,NaN,NaN,NaN,|,23:27:30,NaN,NaN,NaN
|,23:27:31,0.014,0.002,7,|,NaN,NaN,NaN,|,23:27:31,NaN,NaN,NaN
|,23:27:32,0.019,0.004,4.75,|,NaN,NaN,NaN,|,23:27:32,NaN,NaN,NaN
|,23:27:33,0.016,0.002,8,|,NaN,NaN,NaN,|,23:27:33,NaN,NaN,NaN
|,23:27:34,0.014,0.001,14,|,NaN,NaN,NaN,|,23:27:34,NaN,NaN,NaN
